Date,Open,High,Low,Close,Volume,OI
2009-08-11,1.27,1.27,1.07,1.13,8073555,0
2009-08-13,1.15,1.16,1.08,1.13,5784200,0
2009-08-14,1.14,1.2,1.13,1.14,9672600,0
2009-08-17,1.13,1.14,1.08,1.13,9651800,0
2009-08-18,1.13,1.13,1.03,1.03,7393000,0
2009-08-19,1.04,1.07,1.03,1.05,8762200,0
2009-08-20,1.06,1.07,1.05,1.06,3325600,0
2009-08-21,1.06,1.06,1.05,1.06,6535400,0
2009-08-24,1.05,1.06,1.04,1.06,3316700,0
2009-08-25,1.06,1.09,1.05,1.06,1667732,0
2009-08-26,1.07,1.1,1.07,1.08,2943500,0
2009-08-27,1.08,1.35,1.08,1.28,32191400,0
2009-08-28,1.29,1.31,1.15,1.15,9895400,0
2009-08-31,1.15,1.21,1.15,1.16,1801500,0
2009-09-01,1.17,1.22,1.17,1.2,3855300,0
2009-09-02,1.2,1.23,1.2,1.21,510500,0
2009-09-03,1.24,1.31,1.2,1.24,6043100,0
2009-09-04,1.26,1.31,1.21,1.28,8773201,0
2009-09-07,1.28,1.35,1.28,1.32,4338800,0
2009-09-08,1.33,1.34,1.28,1.28,1797000,0
2009-09-09,1.28,1.3,1.27,1.27,123500,0
2009-09-10,1.28,1.33,1.24,1.27,1549101,0
2009-09-11,1.27,1.3,1.26,1.26,315700,0
2009-09-14,1.25,1.28,1.25,1.26,241600,0
2009-09-15,1.26,1.26,1.25,1.25,428400,0
2009-09-16,1.26,1.29,1.25,1.26,759500,0
2009-09-17,1.27,1.29,1.25,1.25,750300,0
2009-09-18,1.25,1.26,1.25,1.25,142500,0
2009-09-21,1.26,1.28,1.25,1.25,107200,0
2009-09-22,1.26,1.29,1.25,1.27,1070200,0
2009-09-23,1.3,1.31,1.27,1.28,1906500,0
2009-09-24,1.28,1.28,1.23,1.25,356300,0
2009-09-25,1.25,1.25,1.22,1.22,1452057,0
2009-09-28,1.23,1.23,1.2,1.2,515800,0
2009-09-29,1.22,1.22,1.19,1.19,367100,0
2009-09-30,1.2,1.24,1.18,1.21,520000,0
2009-10-01,1.21,1.22,1.21,1.21,140500,0
2009-10-02,1.2,1.22,1.2,1.21,597600,0
2009-10-05,1.21,1.21,1.21,1.21,144000,0
2009-10-06,1.21,1.21,1.2,1.2,140500,0
2009-10-07,1.2,1.25,1.2,1.2,599000,0
2009-10-08,1.22,1.23,1.2,1.2,678100,0
2009-10-09,1.22,1.22,1.2,1.2,355099,0
2009-10-12,1.21,1.21,1.2,1.2,284000,0
2009-10-13,1.21,1.21,1.17,1.17,313400,0
2009-10-14,1.18,1.19,1.08,1.09,1728800,0
2009-10-15,1.11,1.15,1.06,1.12,1135500,0
2009-10-16,1.12,1.15,1.11,1.13,520400,0
2009-10-19,1.13,1.15,1.11,1.13,2483600,0
2009-10-20,1.14,1.16,1.11,1.13,1817900,0
2009-10-21,1.15,1.17,1.12,1.14,1232200,0
2009-10-22,1.14,1.15,1.11,1.14,685801,0
2009-10-26,1.14,1.14,1.13,1.14,540500,0
2009-10-27,1.14,1.21,1.14,1.15,2067300,0
2009-10-28,1.16,1.23,1.16,1.16,2873360,0
2009-10-29,1.15,1.17,1.15,1.16,301100,0
2009-10-30,1.16,1.17,1.14,1.14,736000,0
2009-11-02,1.14,1.14,1.14,1.14,165500,0
2009-11-03,1.14,1.15,1.13,1.14,195402,0
2009-11-04,1.13,1.18,1.13,1.15,44900,0
2009-11-05,1.17,1.17,1.14,1.14,44400,0
2009-11-06,1.15,1.16,1.13,1.13,82500,0
2009-11-09,1.14,1.15,1.14,1.14,31700,0
2009-11-10,1.15,1.15,1.15,1.15,11500,0
2009-11-11,1.16,1.18,1.15,1.15,352300,0
2009-11-12,1.15,1.15,1.13,1.14,214700,0
2009-11-13,1.15,1.15,1.14,1.14,143000,0
2009-11-16,1.16,1.16,1.14,1.14,212600,0
2009-11-17,1.14,1.15,1.13,1.13,115000,0
2009-11-18,1.14,1.15,1.11,1.13,261200,0
2009-11-19,1.14,1.14,1.13,1.13,252600,0
2009-11-20,1.17,1.17,1.13,1.14,212300,0
2009-11-23,1.16,1.2,1.14,1.15,1631400,0
2009-11-24,1.16,1.17,1.15,1.16,450100,0
2009-11-25,1.17,1.25,1.16,1.25,3494900,0
2009-11-26,1.25,1.3,1.24,1.25,1666400,0
2009-11-27,1.25,1.26,1.18,1.24,409100,0
2009-11-30,1.26,1.26,1.24,1.25,389100,0
2009-12-01,1.25,1.25,1.24,1.24,542900,0
2009-12-02,1.24,1.24,1.23,1.23,273300,0
2009-12-03,1.24,1.25,1.22,1.22,217600,0
2009-12-04,1.23,1.23,1.22,1.22,67000,0
2009-12-08,1.22,1.24,1.22,1.24,174800,0
2009-12-09,1.25,1.3,1.25,1.29,1913500,0
2009-12-11,1.31,1.31,1.26,1.29,790000,0
2009-12-14,1.28,1.28,1.25,1.27,144100,0
2009-12-15,1.25,1.26,1.24,1.24,316500,0
